ID,Year,Region,POE,Crossing,Modes,Northbound Crossing
2009-CAMI-Pedestrians,2009,Laredo,Eagle Pass,Camino Real International Bridge,Pedestrians/ Bicyclists,90062
2009-CAMI-Railcars,2009,Laredo,Eagle Pass,Camino Real International Bridge,Railcars,0
2009-EAGL-Buses,2009,Laredo,Eagle Pass,Eagle Pass International Bridge,Buses,0
2009-EAGL-Trucks,2009,Laredo,Eagle Pass,Eagle Pass International Bridge,Commercial Trucks,0
2009-EAGL-POVs,2009,Laredo,Eagle Pass,Eagle Pass International Bridge,Passenger Vehicles,1330350
2009-EAGL-Pedestrians,2009,Laredo,Eagle Pass,Eagle Pass International Bridge,Pedestrians/ Bicyclists,595018
2009-EAGL-Railcars,2009,Laredo,Eagle Pass,Eagle Pass International Bridge,Railcars,0
2009-UNIO-Buses,2009,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Buses,0
2009-UNIO-Trucks,2009,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Commercial Trucks,0
2009-UNIO-POVs,2009,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Passenger Vehicles,0
2009-UNIO-Pedestrians,2009,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Pedestrians/ Bicyclists,0
2009-UNIO-Railcars,2009,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Railcars,141560
2009-CANA-Buses,2009,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Buses,0
2009-CANA-Trucks,2009,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Commercial Trucks,0
2009-CANA-POVs,2009,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Passenger Vehicles,0
2009-CANA-Pedestrians,2009,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Pedestrians/ Bicyclists,0
2009-CANA-Railcars,2009,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Railcars,260266
2009-COLO-Buses,2009,Laredo,Laredo,Colombia Solidarity Bridge,Buses,12
2009-COLO-Trucks,2009,Laredo,Laredo,Colombia Solidarity Bridge,Commercial Trucks,291284
2009-COLO-POVs,2009,Laredo,Laredo,Colombia Solidarity Bridge,Passenger Vehicles,303798
2009-COLO-Pedestrians,2009,Laredo,Laredo,Colombia Solidarity Bridge,Pedestrians/ Bicyclists,8962
2009-COLO-Railcars,2009,Laredo,Laredo,Colombia Solidarity Bridge,Railcars,0
2009-GTAB-Buses,2009,Laredo,Laredo,Gateway to the Americas Bridge,Buses,0
2009-GTAB-Trucks,2009,Laredo,Laredo,Gateway to the Americas Bridge,Commercial Trucks,0
2009-GTAB-POVs,2009,Laredo,Laredo,Gateway to the Americas Bridge,Passenger Vehicles,1021229
2009-GTAB-Pedestrians,2009,Laredo,Laredo,Gateway to the Americas Bridge,Pedestrians/ Bicyclists,4045290
2009-GTAB-Railcars,2009,Laredo,Laredo,Gateway to the Americas Bridge,Railcars,0
2009-JUAR-Buses,2009,Laredo,Laredo,Juárez-Lincoln International Bridge,Buses,42514
2009-JUAR-Trucks,2009,Laredo,Laredo,Juárez-Lincoln International Bridge,Commercial Trucks,0
2009-JUAR-POVs,2009,Laredo,Laredo,Juárez-Lincoln International Bridge,Passenger Vehicles,4127084
2009-JUAR-Pedestrians,2009,Laredo,Laredo,Juárez-Lincoln International Bridge,Pedestrians/ Bicyclists,0
2009-JUAR-Railcars,2009,Laredo,Laredo,Juárez-Lincoln International Bridge,Railcars,0
2009-WORL-Buses,2009,Laredo,Laredo,World Trade Bridge,Buses,0
2009-WORL-Trucks,2009,Laredo,Laredo,World Trade Bridge,Commercial Trucks,1091035
2009-WORL-POVs,2009,Laredo,Laredo,World Trade Bridge,Passenger Vehicles,0
2009-WORL-Pedestrians,2009,Laredo,Laredo,World Trade Bridge,Pedestrians/ Bicyclists,77601
2009-WORL-Railcars,2009,Laredo,Laredo,World Trade Bridge,Railcars,0
2009-BROW-Buses,2009,Rio Grande Valley,Brownsville,Brownsville & Matamoros Express Bridge,Buses,0
2009-BROW-Trucks,2009,Rio Grande Valley,Brownsville,Brownsville & Matamoros Express Bridge,Commercial Trucks,0
2009-BROW-POVs,2009,Rio Grande Valley,Brownsville,Brownsville & Matamoros Express Bridge,Passenger Vehicles,1653380
2009-BROW-Pedestrians,2009,Rio Grande Valley,Brownsville,Brownsville & Matamoros Express Bridge,Pedestrians/ Bicyclists,592178
2009-BROW-Railcars,2009,Rio Grande Valley,Brownsville,Brownsville & Matamoros Express Bridge,Railcars,0
2009-FREE-Buses,2009,Rio Grande Valley,Brownsville,Free Trade International Bridge (Los Indios),Buses,20
2009-FREE-Trucks,2009,Rio Grande Valley,Brownsville,Free Trade International Bridge (Los Indios),Commercial Trucks,28761
2009-FREE-POVs,2009,Rio Grande Valley,Brownsville,Free Trade International Bridge (Los Indios),Passenger Vehicles,713208
2009-FREE-Pedestrians,2009,Rio Grande Valley,Brownsville,Free Trade International Bridge (Los Indios),Pedestrians/ Bicyclists,284
2009-FREE-Railcars,2009,Rio Grande Valley,Brownsville,Free Trade International Bridge (Los Indios),Railcars,0
2009-GATE-Buses,2009,Rio Grande Valley,Brownsville,Gateway International Bridge,Buses,0
2009-GATE-Trucks,2009,Rio Grande Valley,Brownsville,Gateway International Bridge,Commercial Trucks,0
2009-GATE-POVs,2009,Rio Grande Valley,Brownsville,Gateway International Bridge,Passenger Vehicles,1543839
2009-GATE-Pedestrians,2009,Rio Grande Valley,Brownsville,Gateway International Bridge,Pedestrians/ Bicyclists,1911178
2009-GATE-Railcars,2009,Rio Grande Valley,Brownsville,Gateway International Bridge,Railcars,0
2009-VETE-Buses,2009,Rio Grande Valley,Brownsville,Veterans International Bridge at Los Tomates,Buses,8401
2009-VETE-Trucks,2009,Rio Grande Valley,Brownsville,Veterans International Bridge at Los Tomates,Commercial Trucks,160827
2009-VETE-POVs,2009,Rio Grande Valley,Brownsville,Veterans International Bridge at Los Tomates,Passenger Vehicles,1602436
2009-VETE-Pedestrians,2009,Rio Grande Valley,Brownsville,Veterans International Bridge at Los Tomates,Pedestrians/ Bicyclists,43080
2009-VETE-Railcars,2009,Rio Grande Valley,Brownsville,Veterans International Bridge at Los Tomates,Railcars,0
2009-WEST-Buses,2009,Rio Grande Valley,Brownsville,West Rail Bridge,Buses,0
2009-WEST-Trucks,2009,Rio Grande Valley,Brownsville,West Rail Bridge,Commercial Trucks,0
2009-WEST-POVs,2009,Rio Grande Valley,Brownsville,West Rail Bridge,Passenger Vehicles,0
2009-WEST-Pedestrians,2009,Rio Grande Valley,Brownsville,West Rail Bridge,Pedestrians/ Bicyclists,0
2009-WEST-Railcars,2009,Rio Grande Valley,Brownsville,West Rail Bridge,Railcars,36118
2009-MCAL-Buses,2009,Rio Grande Valley,Hidalgo,McAllen-Hidalgo International Bridge,Buses,28316
2009-MCAL-Trucks,2009,Rio Grande Valley,Hidalgo,McAllen-Hidalgo International Bridge,Commercial Trucks,0
2009-MCAL-POVs,2009,Rio Grande Valley,Hidalgo,McAllen-Hidalgo International Bridge,Passenger Vehicles,4502411
2009-MCAL-Pedestrians,2009,Rio Grande Valley,Hidalgo,McAllen-Hidalgo International Bridge,Pedestrians/ Bicyclists,2153723
2009-MCAL-Railcars,2009,Rio Grande Valley,Hidalgo,McAllen-Hidalgo International Bridge,Railcars,0
