Year,Month,Region,POE,Crossing,Modes,Northbound Crossing,source
2025,6,El Paso,Ysleta,Ysleta Bridge,Buses,0,ELP_pdf
2025,6,El Paso,Ysleta,Ysleta Bridge,Commercial Trucks,50412,ELP_pdf
2025,6,El Paso,Ysleta,Ysleta Bridge,Passenger Vehicles,328635,ELP_pdf
2025,6,El Paso,Ysleta,Ysleta Bridge,Pedestrians/ Bicyclists,171098,ELP_pdf
2025,7,El Paso,El Paso,Bridge of the Americas,Buses,887,ELP_pdf
2025,7,El Paso,El Paso,Bridge of the Americas,Commercial Trucks,15659,ELP_pdf
2025,7,El Paso,El Paso,Bridge of the Americas,Passenger Vehicles,244540,ELP_pdf
2025,7,El Paso,El Paso,Bridge of the Americas,Pedestrians/ Bicyclists,105614,ELP_pdf
2025,7,El Paso,El Paso,El Paso Railroad Bridges,Railcars,10750,ELP_pdf
2025,7,El Paso,El Paso,Good Neighbor Bridge,Buses,0,ELP_pdf
2025,7,El Paso,El Paso,Good Neighbor Bridge,Commercial Trucks,0,ELP_pdf
2025,7,El Paso,El Paso,Good Neighbor Bridge,Passenger Vehicles,138657,ELP_pdf
2025,7,El Paso,El Paso,Good Neighbor Bridge,Pedestrians/ Bicyclists,0,ELP_pdf
2025,7,El Paso,El Paso,Paso del Norte Bridge,Buses,319,ELP_pdf
2025,7,El Paso,El Paso,Paso del Norte Bridge,Commercial Trucks,0,ELP_pdf
2025,7,El Paso,El Paso,Paso del Norte Bridge,Passenger Vehicles,218638,ELP_pdf
2025,7,El Paso,El Paso,Paso del Norte Bridge,Pedestrians/ Bicyclists,306306,ELP_pdf
2025,7,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Buses,0,ELP_pdf
2025,7,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Commercial Trucks,0,ELP_pdf
2025,7,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Passenger Vehicles,9463,ELP_pdf
2025,7,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Pedestrians/ Bicyclists,231,ELP_pdf
2025,7,El Paso,Marcelino Serna,Marcelino Serna Bridge,Buses,0,ELP_pdf
2025,7,El Paso,Marcelino Serna,Marcelino Serna Bridge,Commercial Trucks,3487,ELP_pdf
2025,7,El Paso,Marcelino Serna,Marcelino Serna Bridge,Passenger Vehicles,61273,ELP_pdf
2025,7,El Paso,Marcelino Serna,Marcelino Serna Bridge,Pedestrians/ Bicyclists,6656,ELP_pdf
2025,7,El Paso,Presidio,Boquillas,Buses,0,ELP_pdf
2025,7,El Paso,Presidio,Boquillas,Commercial Trucks,0,ELP_pdf
2025,7,El Paso,Presidio,Boquillas,Passenger Vehicles,0,ELP_pdf
2025,7,El Paso,Presidio,Boquillas,Pedestrians/ Bicyclists,331,ELP_pdf
2025,7,El Paso,Presidio,Presidio-Ojinaga International Bridge,Buses,196,ELP_pdf
2025,7,El Paso,Presidio,Presidio-Ojinaga International Bridge,Commercial Trucks,996,ELP_pdf
2025,7,El Paso,Presidio,Presidio-Ojinaga International Bridge,Passenger Vehicles,58271,ELP_pdf
2025,7,El Paso,Presidio,Presidio-Ojinaga International Bridge,Pedestrians/ Bicyclists,21438,ELP_pdf
2025,7,El Paso,Ysleta,Ysleta Bridge,Buses,0,ELP_pdf
2025,7,El Paso,Ysleta,Ysleta Bridge,Commercial Trucks,57014,ELP_pdf
2025,7,El Paso,Ysleta,Ysleta Bridge,Passenger Vehicles,313386,ELP_pdf
2025,7,El Paso,Ysleta,Ysleta Bridge,Pedestrians/ Bicyclists,158286,ELP_pdf
2025,8,El Paso,El Paso,Bridge of the Americas,Buses,868,ELP_pdf
